+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op1_wide][18]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[12]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][22]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op1_wide][29]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][resp_done][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[18]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdreq_pending][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][21]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[30]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                         sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][6]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][18]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                               sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][rd_req][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[27]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op1_wide][13]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][19]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op1_wide][26]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                               sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][mem_be][3]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                               sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][mem_be][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][8]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][13]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[28]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][23]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][21]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][11]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][jump_req_cond][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][2]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][29]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][31]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][25]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][30]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                             sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][jump_req][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][16]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][15]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                              sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[8]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][15]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][22]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][31]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |   sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][tid][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][13]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                            sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][rs2_rdata][5]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][5]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][22]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op1_wide][19]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][21]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op1_wide][15]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][16]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                         sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_COUNTER_NEMPTY_reg[0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][12]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[22]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                           sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][rs2_rdata][26]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[25]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][26]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[31]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                           sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][rs2_rdata][15]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][4]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                    sigma/sigma_tile/genexu_MUL_DIV/riscv_multiplier/result_e2_q_reg[30]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][7]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[23]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][3]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][8]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][12]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][1]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][7]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                    sigma/sigma_tile/genexu_MUL_DIV/riscv_multiplier/result_e2_q_reg[25]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][13]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][23]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[19]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                          sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_COUNTER_FULL_reg[0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][31]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][26]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                    sigma/sigma_tile/genexu_MUL_DIV/riscv_multiplier/result_e2_q_reg[24]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_COUNTER_NEMPTY_reg[0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][4]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][resp_done][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][24]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][17]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][9]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][10]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][20]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[16]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdreq_pending][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk | sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][6]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][19]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][17]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][30]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IFETCH_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][10]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][27]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                    sigma/sigma_tile/genexu_MUL_DIV/riscv_multiplier/result_e2_q_reg[22]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                             sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][jump_src][0]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                    sigma/sigma_tile/genexu_MUL_DIV/riscv_multiplier/result_e2_q_reg[28]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                    sigma/sigma_tile/genexu_MUL_DIV/riscv_multiplier/result_e2_q_reg[18]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][23]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                    sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][curinstr_addr][14]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                             sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[11]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                              sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[1]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                   sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][nextinstr_addr][21]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                        sigma/sigma_tile/riscv/gensticky_genpstage_EXEC_TRX_BUF_reg[0][alu_op2_wide][10]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |                                              sigma/sigma_tile/riscv/gensticky_genpsticky_glbl_pc_reg[2]/D|
|       clk_out1_sys_clk_1 |         clk_out1_sys_clk |sigma/sigma_tile/riscv/gensticky_genpstage_IDECODE_TRX_BUF_reg[0][genmcopipe_handle_instr_mem][rdata][17]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
